ImageView_0,ImageView_90,ImageView_180,ImageView_270,ImageView_Aufsicht,ImageView_Untersicht,BB,BK,BWH1,BWH2,BANR1,BANR2,NRVNR1,NRVNR2,NRVNR3,NRVNR4,MotorSize
Middle_Motors\view_0\images\mittel_BB11_num_1.jpg,Middle_Motors\view_90\images\mittel_BB11_num_2.jpg,Middle_Motors\view_180\images\mittel_BB11_num_3.jpg,Middle_Motors\view_270\images\mittel_BB11_num_4.jpg,Middle_Motors\view_top\images\mittel_BB11_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB11_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BB12_num_1.jpg,Middle_Motors\view_90\images\mittel_BB12_num_2.jpg,Middle_Motors\view_180\images\mittel_BB12_num_3.jpg,Middle_Motors\view_270\images\mittel_BB12_num_4.jpg,Middle_Motors\view_top\images\mittel_BB12_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB12_num_6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BB13_num_1.jpg,Middle_Motors\view_90\images\mittel_BB13_num_2.jpg,Middle_Motors\view_180\images\mittel_BB13_num_3.jpg,Middle_Motors\view_270\images\mittel_BB13_num_4.jpg,Middle_Motors\view_top\images\mittel_BB13_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BB13_num_6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG1_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG1_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG1_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG1_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG1_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG1_num_6.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG2_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG2_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG2_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG2_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG2_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG2_num_6.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG3_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG3_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG3_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG3_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG3_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG3_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG4_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG4_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG4_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG4_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG4_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG4_num_6.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG5_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG5_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG5_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG5_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG5_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG5_num_6.jpg,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_BBG6_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG6_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG6_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG6_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG6_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG6_num_6.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG7_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG7_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG7_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG7_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG7_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG7_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG8_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG8_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG8_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG8_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG8_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG8_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG9_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG9_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG9_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG9_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG9_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG9_num_6.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG10_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG10_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG10_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG10_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG10_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG10_num_6.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG11_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG11_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG11_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG11_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG11_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG11_num_6.jpg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG12_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG12_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG12_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG12_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG12_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG12_num_6.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BBG13_num_1.jpg,Middle_Motors\view_90\images\mittel_BBG13_num_2.jpg,Middle_Motors\view_180\images\mittel_BBG13_num_3.jpg,Middle_Motors\view_270\images\mittel_BBG13_num_4.jpg,Middle_Motors\view_top\images\mittel_BBG13_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BBG13_num_6.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK1_num_1.jpg,Middle_Motors\view_90\images\mittel_BK1_num_2.jpg,Middle_Motors\view_180\images\mittel_BK1_num_3.jpg,Middle_Motors\view_270\images\mittel_BK1_num_4.jpg,Middle_Motors\view_top\images\mittel_BK1_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK1_num_6.jpg,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK2_num_1.jpg,Middle_Motors\view_90\images\mittel_BK2_num_2.jpg,Middle_Motors\view_180\images\mittel_BK2_num_3.jpg,Middle_Motors\view_270\images\mittel_BK2_num_4.jpg,Middle_Motors\view_top\images\mittel_BK2_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK2_num_6.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK3_num_1.jpg,Middle_Motors\view_90\images\mittel_BK3_num_2.jpg,Middle_Motors\view_180\images\mittel_BK3_num_3.jpg,Middle_Motors\view_270\images\mittel_BK3_num_4.jpg,Middle_Motors\view_top\images\mittel_BK3_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK3_num_6.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK4_num_1.jpg,Middle_Motors\view_90\images\mittel_BK4_num_2.jpg,Middle_Motors\view_180\images\mittel_BK4_num_3.jpg,Middle_Motors\view_270\images\mittel_BK4_num_4.jpg,Middle_Motors\view_top\images\mittel_BK4_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK4_num_6.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK5_num_1.jpg,Middle_Motors\view_90\images\mittel_BK5_num_2.jpg,Middle_Motors\view_180\images\mittel_BK5_num_3.jpg,Middle_Motors\view_270\images\mittel_BK5_num_4.jpg,Middle_Motors\view_top\images\mittel_BK5_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK5_num_6.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK6_num_1.jpg,Middle_Motors\view_90\images\mittel_BK6_num_2.jpg,Middle_Motors\view_180\images\mittel_BK6_num_3.jpg,Middle_Motors\view_270\images\mittel_BK6_num_4.jpg,Middle_Motors\view_top\images\mittel_BK6_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK6_num_6.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK7_num_1.jpg,Middle_Motors\view_90\images\mittel_BK7_num_2.jpg,Middle_Motors\view_180\images\mittel_BK7_num_3.jpg,Middle_Motors\view_270\images\mittel_BK7_num_4.jpg,Middle_Motors\view_top\images\mittel_BK7_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK7_num_6.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK8_num_1.jpg,Middle_Motors\view_90\images\mittel_BK8_num_2.jpg,Middle_Motors\view_180\images\mittel_BK8_num_3.jpg,Middle_Motors\view_270\images\mittel_BK8_num_4.jpg,Middle_Motors\view_top\images\mittel_BK8_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK8_num_6.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK9_num_1.jpg,Middle_Motors\view_90\images\mittel_BK9_num_2.jpg,Middle_Motors\view_180\images\mittel_BK9_num_3.jpg,Middle_Motors\view_270\images\mittel_BK9_num_4.jpg,Middle_Motors\view_top\images\mittel_BK9_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK9_num_6.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK10_num_1.jpg,Middle_Motors\view_90\images\mittel_BK10_num_2.jpg,Middle_Motors\view_180\images\mittel_BK10_num_3.jpg,Middle_Motors\view_270\images\mittel_BK10_num_4.jpg,Middle_Motors\view_top\images\mittel_BK10_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK10_num_6.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK11_num_1.jpg,Middle_Motors\view_90\images\mittel_BK11_num_2.jpg,Middle_Motors\view_180\images\mittel_BK11_num_3.jpg,Middle_Motors\view_270\images\mittel_BK11_num_4.jpg,Middle_Motors\view_top\images\mittel_BK11_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK11_num_6.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK12_num_1.jpg,Middle_Motors\view_90\images\mittel_BK12_num_2.jpg,Middle_Motors\view_180\images\mittel_BK12_num_3.jpg,Middle_Motors\view_270\images\mittel_BK12_num_4.jpg,Middle_Motors\view_top\images\mittel_BK12_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK12_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BK13_num_1.jpg,Middle_Motors\view_90\images\mittel_BK13_num_2.jpg,Middle_Motors\view_180\images\mittel_BK13_num_3.jpg,Middle_Motors\view_270\images\mittel_BK13_num_4.jpg,Middle_Motors\view_top\images\mittel_BK13_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BK13_num_6.jpg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW1_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW1_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW1_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW1_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW1_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW1_num_6.jpg,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_BDW2_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW2_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW2_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW2_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW2_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW2_num_6.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW3_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW3_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW3_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW3_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW3_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW3_num_6.jpg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW4_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW4_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW4_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW4_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW4_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW4_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW5_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW5_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW5_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW5_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW5_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW5_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW6_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW6_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW6_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW6_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW6_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW6_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW7_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW7_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW7_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW7_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW7_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW7_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW8_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW8_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW8_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW8_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW8_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW8_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW9_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW9_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW9_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW9_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW9_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW9_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW10_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW10_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW10_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW10_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW10_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW10_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW11_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW11_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW11_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW11_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW11_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW11_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW12_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW12_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW12_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW12_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW12_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW12_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_BDW13_num_1.jpg,Middle_Motors\view_90\images\mittel_BDW13_num_2.jpg,Middle_Motors\view_180\images\mittel_BDW13_num_3.jpg,Middle_Motors\view_270\images\mittel_BDW13_num_4.jpg,Middle_Motors\view_top\images\mittel_BDW13_num_5.jpg,Middle_Motors\view_bottom\images\mittel_BDW13_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_1_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_1_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_1_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_1_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_1_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_1_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_2_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_2_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_2_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_2_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_2_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_2_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_3_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_3_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_3_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_3_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_3_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_3_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_4_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_4_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_4_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_4_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_4_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_4_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_5_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_5_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_5_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_5_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_5_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_5_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_6_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_6_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_6_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_6_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_6_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_6_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Middle
Middle_Motors\view_0\images\mittel_NRV1_7_num_1.jpg,Middle_Motors\view_90\images\mittel_NRV1_7_num_2.jpg,Middle_Motors\view_180\images\mittel_NRV1_7_num_3.jpg,Middle_Motors\view_270\images\mittel_NRV1_7_num_4.jpg,Middle_Motors\view_top\images\mittel_NRV1_7_num_5.jpg,Middle_Motors\view_bottom\images\mittel_NRV1_7_num_6.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Middle
